"State","percent_synthetic","percent_deaths","total_opioids_prescribed"
"FL","24.73861642494299176600","0.013471175060835089","37645"
"TX","27.77084019643144435300","0.00983432025015849","36249"
"CA","18.57120782899819727000","0.011794162977175438","36056"
"PA","24.72848289193120902300","0.021387525921219532","24818"
"OH","24.23864726839545118600","0.02371485206564658","21975"
"NC","23.11888389314996032800","0.013789517935512172","20979"
"GA","25.76091456655581820900","0.0120694540033208","19289"
"IL","26.90616371312948326500","0.013235383731035269","18417"
"NY","21.86139263672047557100","0.011704163328647767","17321"
"MI","19.42961441934747889600","0.017805853942278717","17032"
"AL","27.70905653612347007000","0.014957417906946241","17002"
"IN","21.48016226377757989500","0.017836211832104633","15197"
"MO","26.16541045387514337200","0.017653372149795232","12775"
"TN","16.33426799889419849100","0.019535164681900093","12408"
"LA","19.86855827966957471800","0.016798292930231953","12002"
"VA","26.35888779909217399200","0.011863825078794563","11556"
"SC","26.04748948800395745700","0.014681123279758752","10531"
"WI","23.21424234328321958600","0.014853606648982807","9558"
"MD","28.74369385997292974000","0.018047454347530554","9344"
"MN","31.66963755199049316700","0.009538076666211594","9061"
"MA","22.06636161328232440700","0.01925943368598965","8825"
"AZ","16.54335040789224056200","0.018274765551810394","8720"
"NJ","27.25810774591262396100","0.014079697379771688","8136"
"OK","19.54264951842666820500","0.020178841147591733","6777"
"MS","22.56243067925923436300","0.011232923699362832","6713"
"WA","14.50929393035718289600","0.014043078254228774","6471"
"AR","20.68070471431815969600","0.012029575183662215","6374"
"KY","15.15240832166629823400","0.024503474738328146","6169"
"IA","30.30019736158720265900","0.008542539256850857","5834"
"KS","21.22472205200035017100","0.011472181514790994","4849"
"CO","19.92765537652088128900","0.017064111137284097","4848"
"WV","23.90214253153016258900","0.0338132258788203","4719"
"OR","13.44306348673160900200","0.013282223067557407","4002"
"CT","26.02750018784281313400","0.017324419923917155","3464"
"NE","28.35230084116773874300","0.006689800890118148","2865"
"NV","14.05644714997232982800","0.019533098028196475","2794"
"ID","22.91149710504549214200","0.013150255313447502","2770"
"ME","23.21829163071613459900","0.01626136225045208","2691"
"UT","22.28089679451547155800","0.020786853056598154","2405"
"SD","37.25490196078431372500","0.007456706715888821","2299"
"ND","41.15618661257606490900","0.0059442101319752885","2029"
"NM","19.52429149797570850200","0.026231401241172077","1929"
"RI","23.26575644738656737000","0.023490006286191967","1687"
"DE","29.56395874796453772400","0.020415901070376528","1634"
"MT","22.79524807826694619100","0.012313269271497736","1631"
"NH","28.37334437086092715200","0.02523689815853759","1371"
"VT","24.47089947089947089900","0.013245455851140226","1110"
"WY","16.15484429065743944600","0.018707372077616715","747"
"HI","18.20627802690582959600","0.011181906109024297","609"
"AK","12.65923566878980891700","0.016867718994683947","159"
