"NPI","State","total_synthetic","total_opioids","percent_synthetic","percent_deaths"
"1003002320","MS","0","36","0","0.00011232923699362832"
"1003008475","GA","0","0","0","0.000120694540033208"
"1003009630","NY","0","91","0","0.00011704163328647767"
"1003016270","CT","53","236","0.2245762711864407","0.00017324419923917154"
"1003024894","OH","16","89","0.1797752808988764","0.00023714852065646582"
"1003037979","PA","0","18","0","0.00021387525921219534"
"1003038332","OR","0","12","0","0.00013282223067557407"
"1003042805","GA","44","83","0.5301204819277109","0.000120694540033208"
"1003043324","TX","17","51","0.3333333333333333","9.83432025015849e-05"
"1003043480","FL","0","12","0","0.0001347117506083509"
"1003043928","PA","0","12","0","0.00021387525921219534"
"1003049925","ID","48","119","0.40336134453781514","0.00013150255313447502"
"1003053554","CO","24","24","1","0.00017064111137284096"
"1003053984","VA","0","17","0","0.00011863825078794562"
"1003067059","SD","23","23","1","7.456706715888821e-05"
"1003073784","NY","0","12","0","0.00011704163328647767"
"1003077058","FL","0","24","0","0.0001347117506083509"
"1003079773","SD","0","24","0","7.456706715888821e-05"
"1003083304","NC","0","13","0","0.00013789517935512173"
"1003087891","CA","0","23","0","0.00011794162977175439"
"1003088840","CO","0","26","0","0.00017064111137284096"
"1003089905","WV","103","140","0.7357142857142858","0.000338132258788203"
"1003090986","NH","135","282","0.4787234042553192","0.0002523689815853759"
"1003091745","NY","0","0","0","0.00011704163328647767"
"1003096587","FL","98","98","1","0.0001347117506083509"
"1003101411","MI","0","41","0","0.00017805853942278718"
"1003101783","TX","0","14","0","9.83432025015849e-05"
"1003102625","FL","12","12","1","0.0001347117506083509"
"1003110172","CO","0","12","0","0.00017064111137284096"
"1003115486","MD","19","19","1","0.00018047454347530552"
"1003120502","CO","0","0","0","0.00017064111137284096"
"1003130071","FL","58","78","0.7435897435897436","0.0001347117506083509"
"1003143280","PA","0","0","0","0.00021387525921219534"
"1003145897","MD","0","42","0","0.00018047454347530552"
"1003157017","FL","53","53","1","0.0001347117506083509"
"1003178443","OK","0","0","0","0.00020178841147591733"
"1003179946","GA","13","25","0.52","0.000120694540033208"
"1003182940","IL","16","55","0.2909090909090909","0.00013235383731035268"
"1003232489","IL","17","33","0.5151515151515151","0.00013235383731035268"
"1003242298","OH","0","22","0","0.00023714852065646582"
"1003255670","NY","0","0","0","0.00011704163328647767"
"1003256991","NE","13","13","1","6.689800890118148e-05"
"1003801085","MO","317","617","0.513776337115073","0.00017653372149795232"
"1003801366","NY","37","105","0.3523809523809524","0.00011704163328647767"
"1003801788","TN","87","382","0.22774869109947643","0.00019535164681900091"
"1003801853","PA","0","0","0","0.00021387525921219534"
"1003803461","AZ","0","80","0","0.00018274765551810394"
"1003804519","IL","27","86","0.313953488372093","0.00013235383731035268"
"1003804642","MI","137","328","0.4176829268292683","0.00017805853942278718"
"1003806159","OH","123","1009","0.12190287413280476","0.00023714852065646582"
"1003806514","IL","0","33","0","0.00013235383731035268"
"1003807033","OH","38","94","0.40425531914893614","0.00023714852065646582"
"1003808296","NY","0","18","0","0.00011704163328647767"
"1003809005","OH","0","0","0","0.00023714852065646582"
"1003809542","NC","36","302","0.11920529801324503","0.00013789517935512173"
"1003809765","CA","0","203","0","0.00011794162977175439"
"1003810540","AZ","22","160","0.1375","0.00018274765551810394"
"1003813114","NC","66","391","0.16879795396419436","0.00013789517935512173"
"1003814518","GA","28","334","0.08383233532934131","0.000120694540033208"
"1003814716","GA","21","159","0.1320754716981132","0.000120694540033208"
"1003815119","KS","161","547","0.2943327239488117","0.00011472181514790993"
"1003815135","MO","0","77","0","0.00017653372149795232"
"1003815903","LA","14","14","1","0.00016798292930231954"
"1003819657","FL","0","37","0","0.0001347117506083509"
"1003824004","IN","0","72","0","0.00017836211832104634"
"1003824582","NE","25","25","1","6.689800890118148e-05"
"1003824632","TX","62","302","0.2052980132450331","9.83432025015849e-05"
